Movie Name,Time,Rating,Top 7 Cast,Western,Documentary,Music,TV Movie,War,History,Horror,Romance,Drama,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Smile 2 (2024),127,66,Naomi ScottSkye Riley; Rosemarie DeWittElizabeth Riley; Lukas GageLewis; Miles Gutierrez-RileyJoshua; Peter JacobsonMorris; Ray NicholsonPaul Hudson; Dylan GelulaGemma,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Weekend in Taipei (2024),101,61,Luke EvansJohn Lawlor; Gwei Lun-MeiJoey Kang; Sung KangKwang; Wyatt YangRaymond; Pernell WalkerCharlotte Fields; Zach IrelandAgent Simons; Patrick LeeBolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Arena Wars (2024),96,51,Michael MadsenSamson; Eric RobertsAdmiral Jordan; Robert LaSardoPerez; John WellsLuke Bender; Kevin HagerBelladonna; BJ MezekBoggs; Mercedes PetersonDomino,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
Apocalypse Z: The Beginning of the End (2024),119,68,Francisco OrtizManel; José María YázpikPritchenko; Berta VázquezLucía; Iria del RíoJulia; Marta PovedaBelén; Amalia GómezGabriela; María SalgueiroSister Cecilia,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Heretic (2024),111,72,Hugh GrantMr. Reed; Sophie ThatcherSister Barnes; Chloe EastSister Paxton; Topher GraceElder Kennedy; Elle YoungProphet; Julie Lynn-MortensenPedestrian; Haylie HansenTeenager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Terrifier 3 (2024),125,69,Lauren LaVeraSienna Shaw; David Howard ThorntonArt the Clown; Samantha ScaffidiVictoria Heyes; Elliott FullamJonathan Shaw; Margaret Anne FlorenceJessica; Bryce JohnsonGreg; Alexa Blair RobertsonMia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Pimpinero: Blood and Oil (2024),122,73,JuanesMoisés; Alejandro SpeitzerJuan; Alberto GuerraUlises; Laura OsmaDiana; ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Alien: Romulus (2024),119,72,Cailee SpaenyRain; David JonssonAndy; Archie RenauxTyler; Isabela MercedKay; Spike FearnBjorn; Aileen WuNavarro; Rosie EdeWY Officer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Levels (2024),92,56,Cara GeeAsh; Peter MooneyJoe; Aaron AbramsHunter; David HewlettOliver; Amanda TappingMEL; Adam HurtigGeddes; Sydney SabistonMaxine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Inside Out 2 (2024),97,76,Amy PoehlerJoy (voice); Maya HawkeAnxiety (voice); Kensington TallmanRiley (voice); Liza LapiraDisgust (voice); Tony HaleFear (voice); Lewis BlackAnger (voice); Phyllis SmithSadness (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Hunting With Tigers (2024),109,61,Sofiane ZermaniAvi; Waël SersoubMalik; Géraldine NakacheIris; Cassandra CanoEstelle; Samir GuesmiAzzedine; Losene KeitaOusmane; Olivier MartinezAnge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mufasa: The Lion King (2024),118,74,Aaron PierreMufasa (voice); Kelvin Harrison Jr.Taka (voice); Tiffany BooneSarabi (voice); Kagiso LedigaYoung Rafiki (voice); Preston NymanZazu (voice); Blue Ivy CarterKiara (voice); John KaniRafiki (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Transformers One (2024),104,81,Chris HemsworthOrion Pax / Optimus Prime (voice); Brian Tyree HenryD-16 / Megatron (voice); Scarlett JohanssonElita-1 (voice); Keegan-Michael KeyB-127 (voice); Jon HammSentinel Prime (voice); Steve BuscemiStarscream (voice); Laurence FishburneAlpha Trion (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
