Movie Name,Time,Rating,Top 7 Cast,Western,Documentary,Music,TV Movie,War,History,Horror,Romance,Drama,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Rise of the Guardians (2012),97,74,Chris PineJack Frost (voice); Alec BaldwinNorth (voice); Jude LawPitch (voice); Isla FisherTooth (voice); Hugh JackmanBunny (voice); Dakota GoyoJamie Bennett (voice); Isabella Blake-ThomasBritish Girl (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Latency (2024),94,56,Sasha LussHana; Alexis RenJen; Ava CaryofyllisYoung Girl (voice); Robert ColebyLandlord; Kelly B. JonesOfficer #1; Willy ZogoOfficer #2; Chloe SchwankOmnia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Star Wars (1977),121,82,"Mark HamillLuke Skywalker; Harrison FordHan Solo; Carrie FisherPrincess Leia Organa; Peter CushingGrand Moff Tarkin; Alec GuinnessObi-Wan ""Ben"" Kenobi; Anthony DanielsC-3PO; Kenny BakerR2-D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Under Paris (2024),104,60,Bérénice BejoSophia Assalas; Nassim LyesAdil; Léa LéviantMika; Sandra ParfaitCaro; Aksel ÜstünNils; Aurélia PetitAngèle; Marvin DubartMarkus,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
The Imitation Game (2014),113,80,Benedict CumberbatchAlan Turing; Keira KnightleyJoan Clarke; Matthew GoodeHugh Alexander; Rory KinnearDetective Robert Nock; Allen LeechJohn Cairncross; Matthew BeardPeter Hilton; Charles DanceCommander Denniston,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Grown Ups (2010),102,64,Adam SandlerLenny Feder; Kevin JamesEric Lamonsoff; Chris RockKurt McKenzie; David SpadeMarcus Higgins; Rob SchneiderRob Hilliard; Salma Hayek PinaultRoxanne Chase-Feder; Maria BelloSally Lamonsoff,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
After We Fell (2021),99,71,"Josephine LangfordTessa Young; Hero Fiennes TiffinHardin Scott; Louise LombardTrish Daniels; Chance PerdomoLandon Gibson; Rob EstesKen Scott; Arielle KebbelKimberly ""Kim"" Vance; Stephen MoyerChristian Vance",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Howl's Moving Castle (2004),119,84,Chieko BaishoSophie (voice); Takuya KimuraHowl (voice); Akihiro MiwaWitch of the Waste (voice); Tatsuya GashûinCalcifer (voice); Ryunosuke KamikiMarkl (voice); Mitsunori IsakiKosho (voice); Yo OizumiPrince Justin / Turnip Head (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Batman v Superman: Dawn of Justice (2016),152,60,Ben AffleckBruce Wayne / Batman; Henry CavillClark Kent / Superman; Jesse EisenbergLex Luthor; Gal GadotDiana Prince / Wonder Woman; Amy AdamsLois; Diane LaneMartha Kent; Laurence FishburnePerry White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Up (2009),96,80,Ed AsnerCarl Fredricksen (voice); Christopher PlummerCharles F. Muntz (voice); Jordan NagaiRussell (voice); Bob PetersonDug / Alpha (voice); Delroy LindoBeta (voice); Jerome RanftGamma (voice); John RatzenbergerConstruction Foreman Tom (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Lucky Baskhar (2024),148,77,Dulquer SalmaanBaskhar Kumar; Meenakshi ChaudharySumathi Kumar; Rajkumar KasireddySamba; RamkiAnthony; Maganti SrinathSuraj; Sai KumarCBI Officer Lakshman; Sachin KhedekarVinod Bhosle,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Road House (2024),121,70,Jake GyllenhaalDalton; Billy MagnussenBen Brandt; Daniela MelchiorEllie; Jessica WilliamsFrankie; Conor McGregorKnox; Joaquim de AlmeidaSheriff; Hannah Love LanierCharlie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Expend4bles (2023),103,62,Jason StathamLee Christmas; 50 CentDrew 'Easy Day' Farrell; Megan FoxGina; Dolph LundgrenGunner Jensen; Tony JaaDecha; Iko UwaisRahmat; Andy GarcíaMarsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Gone Girl (2014),149,79,Ben AffleckNick Dunne; Rosamund PikeAmy Dunne; Neil Patrick HarrisDesi Collings; Tyler PerryTanner Bolt; Carrie CoonMargo Dunne; Kim DickensDetective Rhonda Boney; Patrick FugitOfficer James Gilpin,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Sexual Chronicles of a French Family (2012),85,54,Mathias MelloulRomain; Valérie MaësClaire; Stephan HersoenHervé; Pierre PerrierMaxime; Yan BrianMichel; Adeline RebeillardCoralie; Leïla DenioMarie,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Ted 2 (2015),115,63,Mark WahlbergJohn; Seth MacFarlaneTed (voice); Amanda SeyfriedSamantha; Jessica BarthTami-Lynn; Giovanni RibisiDonny; Morgan FreemanPatrick Meighan; Sam J. JonesSam J. Jones,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Trap (2024),105,64,Josh HartnettCooper; Ariel DonoghueRiley; SalekaLady Raven; Alison PillRachel; Hayley MillsDr. Josephine Grant; Jonathan LangdonJamie; Mark BacolcolSpencer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Blood for Dust (2024),98,58,Scoot McNairyCliff; Kit HaringtonRicky; Josh LucasJohn; Stephen DorffGus; Nora ZehetnerAmy; Ethan SupleeSlim; Amber Rose MasonRebecca,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Ready Player One (2018),140,76,Tye SheridanParzival / Wade; Olivia CookeArt3mis / Samantha; Ben MendelsohnSorrento; Lena WaitheAech / Helen; T.J. MillerI-R0k (voice); Simon PeggCurator / Ogden Morrow; Mark RylanceAnorak / Halliday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Union (2024),109,62,Mark WahlbergMike McKenna; Halle BerryRoxanne Hall; J.K. SimmonsTom Brennan; Mike ColterNick Faraday; Adewale Akinnuoye-AgbajeFrank Preiffer; Jessica De GouwJuliet Quinn; Alice Lee Luk-YuAthena Kim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
The Equalizer 2 (2018),121,68,Denzel WashingtonRobert McCall; Pedro PascalDave York; Ashton SandersMiles Whittaker; Orson BeanSam Rubinstein; Bill PullmanBrian Plummer; Melissa LeoSusan Plummer; Jonathan ScarfeResnik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Fight Club (1999),139,84,Edward NortonNarrator; Brad PittTyler Durden; Helena Bonham CarterMarla Singer; Meat LoafRobert Paulson; Jared LetoAngel Face; Zach GrenierRichard Chesler (Regional Manager); Holt McCallanyThe Mechanic,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Elf (2003),97,67,Will FerrellBuddy; James CaanWalter; Bob NewhartPapa Elf; Ed AsnerSanta; Mary SteenburgenEmily; Zooey DeschanelJovie; Daniel TayMichael,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Five Nights at Freddy's (2023),110,75,Josh HutchersonMike; Piper RubioAbby; Elizabeth LailVanessa; Matthew LillardSteve Raglan; Mary Stuart MastersonAunt Jane; Kat Conner SterlingMax; David LindJeff,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
xXx: Return of Xander Cage (2017),107,61,Vin DieselXander Cage; Donnie YenXiang; Ruby RoseAdele Wolff; Toni ColletteJane Marke; Samuel L. JacksonAgent Augustus Gibbons; Ice CubeDarius Stone / xXx; Rory McCannTennyson Torch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Furious 7 (2015),137,72,Vin DieselDominic Toretto; Paul WalkerBrian O'Conner; Jason StathamDeckard Shaw; Michelle RodriguezLetty Ortiz; Jordana BrewsterMia Toretto; Tyrese GibsonRoman Pearce; LudacrisTej Parker,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
A Christmas Carol (2009),94,69,Jim CarreyScrooge / Ghosts of Christmas (voice); Gary OldmanBob Cratchit / Marley / Tiny Tim (voice); Colin FirthFred (voice); Robin WrightFan / Belle (voice); Cary ElwesPortly Gentleman / Dick Wilkins / Fiddler / Business Man (voice); Bob HoskinsFezziwig / Old Joe (voice); Daryl SabaraApprentice / Caroler / Beggar / Peter Cratchit (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Doctor Strange in the Multiverse of Madness (2022),126,73,Benedict CumberbatchDoctor Stephen Strange; Xochitl GomezAmerica Chavez; Elizabeth OlsenWanda Maximoff / The Scarlet Witch; Chiwetel EjioforBaron Mordo; Benedict WongWong; Rachel McAdamsDr. Christine Palmer; Jett KlyneTommy Maximoff,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
The Devil's Bath (2024),121,67,Anja PlaschgAgnes; Maria HofstätterMother-in-law Gänglin; David ScheidWolf; Natalija BaranovaEwa Schikin; Lukas WalcherLukas; Agnes LamplCamilla SchilienLorenz TröbingerReinhold FelsingerElias SchützenhoferMichael; Elmar KurzDeathsman,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Rippy (2024),83,44,Michael BiehnUncle Schmitty; Tess HaubrichMaddy; Aaron PedersenAngie MillikenAunt Donna; Mungo McKayStan; Nancy RizkJimmy; Don BridgesBen; Molly Belle WrightYoung Maddy,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
John Wick: Chapter 3 - Parabellum (2019),131,74,Keanu ReevesJohn Wick; Halle BerrySofia; Ian McShaneWinston; Laurence FishburneBowery King; Mark DacascosZero; Asia Kate DillonThe Adjudicator; Lance ReddickCharon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
The Emperor's New Groove (2000),78,76,David SpadeKuzco (voice); John GoodmanPacha (voice); Eartha KittYzma (voice); Patrick WarburtonKronk (voice); Wendie MalickChicha (voice); Kellyann KelsoChaca (voice); Eli Russell LinnetzTipo (voice),0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
20th Century Girl (2022),119,82,Kim You-jungNa Bo-ra; Byeon Woo-seokPoong Woon-ho; Park Jung-wooBaek Hyun-jin; Roh Yoon-seoKim Yeon-du; Kim Sung-kyungBo-ra's Mother; Jeong Seok-yongBo-ra's Father; Yoon Yi-rehMadam,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Troy (2004),163,72,Brad PittAchilles; Orlando BloomParis; Eric BanaHector; Brian CoxKing Agamemnon; Sean BeanOdysseus; Brendan GleesonMenelaos; Diane KrugerHelen,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Iron Man 2 (2010),124,68,Robert Downey Jr.Tony Stark; Gwyneth PaltrowPepper Potts; Don CheadleLt. Col. James 'Rhodey' Rhodes; Scarlett JohanssonNatalie Rushman / Natasha Romanoff; Sam RockwellJustin Hammer; Mickey RourkeIvan Vanko; Samuel L. JacksonNick Fury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
xXx (2002),124,59,Vin DieselXander Cage; Asia ArgentoYelena; Marton CsokasYorgi; Samuel L. JacksonAgent Augustus Gibbons; Michael RoofAgent Toby Lee Shavers; Richy MüllerMilan Sova; Werner DaehnKirill,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
"Miraculous: Ladybug & Cat Noir, The Movie (2023)",107,77,Annouck HautboisMarinette Dupain-Cheng / Ladybug (voice); Benjamin BollenAdrien Agreste / Cat Noir (voice); Fanny BlocAlya Césaire (voice); Alexandre N'GuyenNino Lahiffe (voice); Antoine ToméGabriel Agreste / Hawk Moth (voice); Marie ChevalotChloé Bourgeois / Nathalie Sancoeur (voice); Marie NonnenmacherSabrina Raincomprix (voice),0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
Mulan (1998),88,79,Ming-Na WenMulan (voice); Eddie MurphyMushu (voice); BD WongShang (voice); Miguel FerrerShan-Yu (voice); Harvey FiersteinYao (voice); Freda Foh ShenFa Li (voice); June ForayGrandmother Fa (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
The Fall Guy (2024),127,71,Ryan GoslingColt Seavers; Emily BluntJody Moreno; Aaron Taylor-JohnsonTom Ryder; Hannah WaddinghamGail Meyer; Teresa PalmerIggy Starr; Stephanie HsuAlma Milan; Winston DukeDan Tucker,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Forrest Gump (1994),142,85,Tom HanksForrest Gump; Robin WrightJenny Curran; Gary SiniseLieutenant Dan Taylor; Sally FieldMrs. Gump; Mykelti WilliamsonBubba Blue; Michael Conner HumphreysYoung Forrest Gump; Hanna HallYoung Jenny Curran,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Taken 3 (2014),109,63,Liam NeesonBryan Mills; Forest WhitakerInspector Frank Dotzler; Maggie GraceKim Mills; Dougray ScottStuart St. John; Famke JanssenLenore St. John; Sam SpruellOleg Malankov; Don HarveyGarcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The Lorax (2012),86,65,Danny DeVitoThe Lorax (voice); Ed HelmsOnce-ler (voice); Zac EfronTed Wiggins (voice); Rob RiggleMr. Aloysius O'Hare (voice); Taylor SwiftAudrey (voice); Jenny SlateMrs. Wiggins (voice); Betty WhiteGrammy Norma (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Terminator 2: Judgment Day (1991),137,81,Arnold SchwarzeneggerThe Terminator; Linda HamiltonSarah Connor; Edward FurlongJohn Connor; Robert PatrickT-1000; Earl BoenDr. Silberman; Joe MortonMiles Dyson; S. Epatha MerkersonTarissa Dyson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Sing 2 (2021),110,79,Matthew McConaugheyBuster Moon (voice); Reese WitherspoonRosita (voice); Scarlett JohanssonAsh (voice); Taron EgertonJohnny (voice); Bobby CannavaleMr. Crystal (voice); Tori KellyMeena (voice); Nick KrollGunter (voice),0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Finding Nemo (2003),100,78,Albert BrooksMarlin (voice); Ellen DeGeneresDory (voice); Alexander GouldNemo (voice); Willem DafoeGill (voice); Geoffrey RushNigel (voice); Brad GarrettBloat (voice); Allison JanneyPeach (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Playing with Love (1977),94,52,Lara WendelLaura; Éva IonescoSilvia; Martin LoebFabrizio; ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Boy in the Striped Pyjamas (2008),94,78,Asa ButterfieldBruno; Vera FarmigaMother; David ThewlisFather; Jack ScanlonShmuel; Amber BeattieGretel; Rupert FriendLieutenant Kotler; David HaymanPavel,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mom, Is That You?! (2023)",111,57,Yo OizumiKanzaki Akio; Sayuri YoshinagaKanzaki Fukue; Mei NaganoKanzaki Mai; YOUMoe EdamotoKankuro KudoMin TanakaAkira Terao,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
The Creator (2023),134,71,John David WashingtonJoshua; Madeleine Yuna VoylesAlphie; Gemma ChanMaya; Allison JanneyColonel Howell; Ken WatanabeHarun; Sturgill SimpsonDrew; Amar Chadha-PatelOmni / SEK-ON / Sergeant Bui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Mummy (1999),124,69,Brendan FraserRick O'Connell; Rachel WeiszEvelyn Carnahan; John HannahJonathan Carnahan; Arnold VoslooImhotep; Patricia VelásquezAnck-Su-Namun; Oded FehrArdeth Bay; Kevin J. O'ConnorBeni Gabor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SPY x FAMILY CODE: White (2023),110,71,Takuya EguchiLoid Forger (voice); Atsumi TanezakiAnya Forger (voice); Saori HayamiYor Forger (voice); Kenichirou MatsudaNarrator / Bond Forger (voice); Tomoya NakamuraDmitri (voice); Kento KakuLuka (voice); Banjo GingaSnijder (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Ghosted (2023),117,69,Chris EvansCole Turner; Ana de ArmasSadie Rhodes; Adrien BrodyLeveque; Mike MohWagner; Amy SedarisMom; Tate DonovanDad; Tim Blake NelsonBorislov,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Ice Age (2002),81,74,Ray RomanoManny (voice); John LeguizamoSid (voice); Denis LearyDiego (voice); Goran VišnjićSoto (voice); Jack BlackZeke (voice); Cedric the EntertainerCarl (voice); Stephen RootFrank / Start (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
World War Z (2013),116,68,Brad PittGerry Lane; Mireille EnosKaren Lane; Daniella KerteszSegen; James Badge DaleCaptain Speke; Ludi BoekenJurgen Warmbrunn; Matthew FoxParajumper; Fana MokoenaThierry Umutoni,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
Mom's Friend (2015),91,64,Heo Ye-changSeong-soo (성수); Hee-jeongJa-yeong (자영); Yeong AhSoo-min (수민); Kim WoonYeong-cheol (영철); Jeon Ji-hakTae-woong (태웅); Jo Yong-bokJeong-joon (정준); Kim Mi-naHee-seon (희선),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VIRGO (2021),6,62,Drew StarkeyJonah; Rudy PankowEli; Elaine SiemekVirgo; ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
'Twas the Text Before Christmas (2023),85,64,Merritt PattersonAddie; Trevor DonovanJames; Rob StewartBruce; Jayne EastwoodMaybel; Marisa McIntyreMolly; Peyton BoulleyPaige; Derek MoranWill,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
The Smurfs: A Christmas Carol (2011),22,67,Jack AngelPapa Smurf (voice); Fred ArmisenBrainy (voice); Hank AzariaGargamel (voice); Gary BasarabaHefty (voice); George LopezGrouchy (voice); Melissa SturmSmurfette (voice); Anton YelchinClumsy (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Everything Everywhere All at Once (2022),140,78,Michelle YeohEvelyn Wang; Stephanie HsuJoy Wang / Jobu Tupaki; Ke Huy QuanWaymond Wang; James HongGong Gong; Jamie Lee CurtisDeirdre Beaubeirdre; Tallie MedelBecky Sregor; Jenny SlateBig Nose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Creed III (2023),116,71,Michael B. JordanAdonis Creed; Tessa ThompsonBianca Creed; Jonathan MajorsDamian 'Dame' Anderson; Phylicia RashādMary-Anne Creed; Mila Davis-KentAmara Creed; Wood HarrisTony 'Little Duke' Evers; José Benavidez Jr.Felix Chavez,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Spider-Man: Far From Home (2019),129,74,Tom HollandPeter Parker / Spider-Man; Jake GyllenhaalQuentin Beck / Mysterio; Samuel L. JacksonNick Fury; Marisa TomeiMay Parker; Jon FavreauHappy Hogan; ZendayaMJ; Jacob BatalonNed Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Through My Window 3: Looking at You (2024),105,69,Clara GalleRaquel; Julio PeñaAres Hidalgo; Natalia AzaharaDaniela; Hugo ArbuesApolo Hidalgo; Eric MasipArtemis Hidalgo; Andrea ChaparroVera; Emilia LazoClaudia,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
The Apprentice (2024),122,69,Sebastian StanDonald Trump; Jeremy StrongRoy Cohn; Maria BakalovaIvana Trump; Martin DonovanFred Trump; Catherine McNallyMary Anne Trump; Charlie CarrickFreddy Trump; Patch DarraghDaniel Sullivan,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hidden Face (2024),113,63,Song Seung-heonSung-jin; Cho Yeo-jeongSu-yeon; Park Ji-hyunMi-ju; Park Ji-youngHye-yeon; Park Seong-geunOffice manager; Cha Mi-kyeongSung-jin's mother; Byun Joong-heeMs. Park,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Officer Black Belt (2024),108,78,Kim Woo-binLee Jung-do; Kim Sung-kyunKim Sun-min; Lee Hyun-gulKang Ki-jung; Park Ji-yeolCho Min-jo; Lee Jung-okHan Byung-soon; Kim Yo-hanMoisture; Kang Hyung-sukWriter K,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Saving Private Ryan (1998),169,82,Tom HanksCaptain Miller; Tom SizemoreSergeant Horvath; Edward BurnsPrivate Reiben; Barry PepperPrivate Jackson; Adam GoldbergPrivate Mellish; Vin DieselPrivate Caparzo; Giovanni RibisiT/4 Medic Wade,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Princess and the Frog (2009),98,72,Anika Noni RoseTiana (voice); Bruno CamposPrince Naveen (voice); Jim CummingsRay (voice); Michael-Leon WooleyLouis (voice); Keith DavidDr. Facilier (voice); Jennifer CodyCharlotte (voice); Peter BartlettLawrence (voice),0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
Land of Bad (2024),113,73,Liam HemsworthKinney; Russell CroweReaper; Luke HemsworthAbel; Ricky WhittleBishop; Milo VentimigliaSugar; Chika IkogweStaff Sgt. Nia Branson; Daniel MacPhersonColonel Duz Packett,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
No Way Up (2024),90,63,Colm MeaneyBrandon; Phyllis LoganMardy; Sophie McIntoshAva; Will AttenboroughKyle; Jeremias AmooreJed; Manuel PacificDanilo; Grace NettleRosa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
The Fate of the Furious (2017),136,69,Vin DieselDominic Toretto; Jason StathamDeckard Shaw; Dwayne JohnsonLuke Hobbs; Michelle RodriguezLetty Ortiz; Tyrese GibsonRoman Pearce; LudacrisTej Parker; Charlize TheronCipher,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Rita (PH) (2024),113,67,Christine BermasRita; Gold AceronMarlon; VR RelosaAriel; Josh Ivan MoralesRoyce; Sahil KhanArabo; Amabella De LeonShirley; ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Outlaw (2024),80,60,Maria BomaniRebeca; Jean AmorimPará; Milhem CortazSeu Amoroso; João Vitor NascimentoCarcará; Jorge HissaCara Murcha; Michely GabrielyRebeca (Criança); JP RufinoMenor B,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
It's Christmas Again (2022),100,33,Lawson TouliatosJake Young; Leela OwenAbbey Walker; Dimitri MarenoJoe; Jason BurkeyMr. Young; Nathan KehnRoman Soldier; Shalet MoniqueTeacher; Reina OzbayMary,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Creed II (2018),130,70,Michael B. JordanAdonis Johnson; Sylvester StalloneRocky Balboa; Tessa ThompsonBianca; Wood HarrisTony 'Little Duke' Evers; Russell HornsbyBuddy Marcelle; Phylicia RashādMary Anne Creed; Dolph LundgrenIvan Drago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Past Lives (2023),106,78,Greta LeeNora; Teo YooHae Sung; John MagaroArthur; Moon Seung-ahYoung Nora; Yim Seung-minYoung Hae Sung; Yoon Ji-hyeNora's Mom; Choi Won-youngNora's Dad,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: Breaking Dawn - Part 2 (2012),115,65,Robert PattinsonEdward Cullen; Kristen StewartBella Swan; Taylor LautnerJacob Black; Peter FacinelliCarlisle Cullen; Elizabeth ReaserEsme Cullen; Ashley GreeneAlice Cullen; Jackson RathboneJasper Hale,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
Boyka: Undisputed IV (2016),87,72,Scott AdkinsYuri Boyka; Teodora DuhovnikovaAlma; Alon AboutboulZourab; Julian VergovSlava; Martyn FordKoshmar; Brahim AchabbakheIgor Kazmir; Paul ChahidiKiril,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The Flash (2023),144,67,Ezra MillerBarry Allen / The Flash; Sasha CalleKara Zor-El / Supergirl; Michael KeatonBruce Wayne / Batman; Michael ShannonGeneral Zod; Ron LivingstonHenry Allen; Maribel VerdúNora Allen; Kiersey ClemonsIris West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Wizard of Oz (1939),102,76,"Judy GarlandDorothy Gale; Frank MorganProfessor Marvel / The Wizard of Oz; Ray Bolger""Hunk"" / Scarecrow; Bert Lahr""Zeke"" / Cowardly Lion; Jack Haley""Hickory"" / Tin Man; Billie BurkeGlinda; Margaret HamiltonMiss Gulch / Wicked Witch of the West",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Taken 2 (2012),91,64,Liam NeesonBryan Mills; Maggie GraceKim Mills; Famke JanssenLenore St. John; Leland OrserSam Gilroy; D.B. SweeneyBernie Harris; Jon GriesMark Casey; Rade ŠerbedžijaMurad Krasniqi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Woman of the Hour (2024),94,65,Anna KendrickSheryl; Daniel ZovattoRodney; Tony HaleEd; Nicolette RobinsonLaura; Autumn BestAmy; Pete HolmesTerry; Kathryn GallagherCharlie,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Train to Busan (2016),118,78,Gong YooSeok-woo; Kim Su-anSoo-ahn; Jung Yu-miSung-gyeong; Ma Dong-seokSang-hwa; Choi Woo-shikYeong-gook; An So-heeJin-hee; Kim Eui-sungYong-suk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Avengers: Age of Ultron (2015),141,73,Robert Downey Jr.Tony Stark / Iron Man; Chris HemsworthThor; Mark RuffaloBruce Banner / Hulk; Chris EvansSteve Rogers / Captain America; Scarlett JohanssonNatasha Romanoff / Black Widow; Jeremy RennerClint Barton / Hawkeye; James SpaderUltron (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Me Before You (2016),110,79,Emilia ClarkeLouisa 'Lou' Clark; Sam ClaflinWilliam 'Will' Traynor; Janet McTeerCamilla Traynor; Charles DanceStephen Traynor; Brendan CoyleBernard Clark; Jenna ColemanKatrina 'Treena' Clark; Matthew LewisPatrick,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Megamind vs. the Doom Syndicate (2024),83,49,Keith FergusonMegamind (voice); Laura PostRoxanne Ritchi (voice); Josh BrenerOI' Chum (voice); Maya TuttleKeiko Morita (voice); Emily TuñonLady Doppler (voice); Talon WarburtonLord Nighty-Knight (voice); Scott AdsitPierre Pressure (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
The Hobbit: The Desolation of Smaug (2013),161,76,Ian McKellenGandalf the Grey; Martin FreemanBilbo Baggins; Richard ArmitageThorin Oakenshield; Benedict CumberbatchSmaug / Sauron; Orlando BloomLegolas; Evangeline LillyTauriel; Lee PaceKing Thranduil,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
